typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","9598673920",,"9598673920","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","4","AFG","Afghanistan","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","9051",,"9051","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","8","ALB","Albania","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2538",,"2538","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","32","ARG","Argentina","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","36662872",,"36662872","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","36","AUS","Australia","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","9697826",,"9697826","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","40","AUT","Austria","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","286555488",,"286555488","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","44","BHS","Bahamas","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","259398",,"259398","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","48","BHR","Bahrain","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1107819",,"1107819","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","58","BEL","Belgium-Luxembourg (...1998)","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","214617136",,"214617136","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","60","BMU","Bermuda","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","34102",,"34102","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","64","BTN","Bhutan","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","351017",,"351017","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","927",,"927","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","76","BRA","Brazil","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","126413424",,"126413424","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","100","BGR","Bulgaria","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","16260983",,"16260983","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","104","MMR","Myanmar","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2590256",,"2590256","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","116","KHM","Cambodia","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3718306",,"3718306","0","true","false",
